"mls_number"	"property_type"	"air_conditioning"	"appartment_bi"	"patio_bi"	"school_high"	"school_junior"	"school_middle"	"school_general"	"photo_count"	"pool_bi"	"rear_yard_access_bi"	"roof_type"	"roof_type_shingle_bi"	"gas_type"	"out_building_livable_bi"	"out_building_not_livable_bi"	"living_area"	"land_acres"	"appliances_included_bi"	"garage_bi"	"condition"	"energy_efficient_bi"	"exterior_type"	"exterior_features"	"fire_place_bi"	"foundation_type"	"total_area"	"beds_total"	"bath_full"	"bath_half"	"age"	"days_on_market"	"sold_price"	"sold_date"	"sewer_type"	"spa_location"	"stories"	"property_style"	"city_limit_bi"	"subdivision_bi"	"tennis_court_bi"	"termite_contract"	"water_type"	"waterfront_bi"	"post_corona_bi"	"corona_crisis"
"CN163583"	"TNH"	"central"	0	0	0	0	0	0	14	0	0	"other"	0	"Natural"	0	0	1725	0.08	0	1	"Other"	0	"other"	"fence"	1	"other"	2000	4	3	0	39	3	160000	44531	"city"	"None"	2	"Not Specific"	1	1	0	"Unknown"	"Public"	1	1	"post"
"CN163577"	"SGL"	"central"	0	1	0	0	0	0	18	0	0	"metal"	0	"Natural"	0	1	1830	0.46	1	1	"Other"	0	"brick"	"fence"	0	"slab"	2050	3	2	0	33	20	135220	44504	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163575"	"SGL"	"central"	0	0	1	0	1	1	28	1	0	"shingle"	1	"Natural"	0	0	2600	2	0	1	"Other"	0	"other"	"fence"	1	"slab"	3300	4	3	1	36	7	332000	44538	"other"	"None"	2	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163563"	"SGL"	"central"	0	1	0	0	0	0	27	0	0	"shingle"	1	"Natural"	0	0	2081	0.33	1	1	"Other"	0	"brick"	"fence"	1	"slab"	2500	3	2	1	34	2	288000	44524	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163560"	"SGL"	"central"	0	1	1	0	1	1	26	0	0	"shingle"	1	"Natural"	0	0	1849	0.2	1	1	"Other"	1	"vinyl"	"fence"	1	"slab"	2838	3	2	1	39	1	325000	44544	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163553"	"SGL"	"central"	0	0	0	0	0	0	19	0	0	"other"	0	"Natural"	0	1	1706	0.75	0	0	"Other"	0	"brick"	"none"	1	"slab"	2500	3	1	1	34	26	182000	44530	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163551"	"SGL"	"central"	0	1	0	0	0	0	27	0	0	"shingle"	1	"Natural"	0	1	1354	0.4	1	0	"Other"	0	"other"	"fence"	1	"slab"	2263	3	2	0	31	2	150000	44522	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163547"	"SGL"	"central"	0	0	0	0	0	0	22	0	0	"metal"	0	"Natural"	0	0	1836	0.42	1	0	"Other"	0	"other"	"none"	0	"raised"	2100	3	2	0	35	16	32000	44533	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	1	1	"post"
"CN163545"	"SGL"	"central"	0	1	0	0	0	0	22	0	0	"shingle"	1	"Natural"	0	0	1596	0.19	1	1	"Other"	0	"vinyl"	"none"	1	"other"	2000	3	2	0	37	11	245000	44536	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	1	1	"post"
"CN163537"	"SGL"	"central"	0	0	0	0	0	0	24	0	0	"shingle"	1	"Natural"	0	0	1535	0.55	0	1	"Other"	0	"brick"	"fence"	0	"slab"	2256	3	2	0	39	14	228000	44538	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
